#ZVView-data-copy:   4-Feb-2019 09:37:32
#=======================================
#
#name:   FPYI,U-235,ENDF/B-VIII.0,Ei=0.0253eV
#X.axis: A
#Y.axis: Fission Product Yield
#wdata:  3
#ldata:  107
#data...
#            X            Y         +-dY
#       NO-DIM       PC/FIS       PC/FIS
            66  7.22115e-10  4.62154e-10
            67   3.60581e-9   2.30772e-9
            68   7.15773e-9   4.58095e-9
            69    1.5724e-8   1.00634e-8
            70   3.61729e-8   2.31507e-8
            71   8.38493e-8   5.36635e-8
            72   2.64948e-7   1.69567e-7
            73   1.01758e-6   6.51251e-7
            74   3.38526e-6   2.16657e-6
            75    1.0677e-5   6.83326e-6
            76   3.09725e-5   1.98224e-5
            77   7.95941e-5   5.09403e-5
            78  0.000209287  0.000133411
            79  0.000446655  0.000187026
            80    0.0012795  0.000151785
            81   0.00203314   0.00014377
            82   0.00325749   0.00111823
            83   0.00534757  0.000561152
            84   0.00894031   0.00153993
            85    0.0128569   0.00671446
            86    0.0203116   0.00297206
            87    0.0252142   0.00128002
            88    0.0353423   0.00194527
            89    0.0474848   0.00114542
            90    0.0588117   0.00567823
            91    0.0585608   0.00102983
            92     0.059752   0.00230514
            93    0.0623463   0.00185392
            94    0.0657545   0.00160358
            95    0.0654093   0.00500066
            96    0.0635583   0.00936307
            97    0.0600472    0.0212898
            98    0.0575256    0.0201548
            99    0.0614583   0.00998616
           100    0.0629748    0.0241459
           101    0.0517255   0.00251453
           102     0.042982    0.0131764
           103    0.0303078   0.00760109
           104     0.018742   0.00461363
           105   0.00970924   0.00142959
           106   0.00401697  0.000415718
           107   0.00146192  0.000935632
           108  0.000540769  0.000346092
           109  0.000311719    0.0001995
           110  0.000255397  0.000163454
           111  0.000174311  0.000111559
           112  0.000130416    8.3466e-5
           113  0.000142042   9.09066e-5
           114  0.000118323   7.57264e-5
           115  0.000125835   8.05141e-5
           116  0.000132477   8.47852e-5
           117  0.000127621   6.92223e-5
           118  0.000113443    5.8599e-5
           119   0.00012874   5.76722e-5
           120  0.000126085   8.06944e-5
           121  0.000130453   7.55801e-5
           122  0.000154821   9.90852e-5
           123  0.000156575   9.76883e-5
           124  0.000267867  0.000148365
           125  0.000340181   8.94578e-5
           126  0.000582139  0.000372569
           127   0.00157256  0.000331055
           128   0.00348033   0.00222686
           129    0.0054314  0.000945404
           130    0.0181106     0.011313
           131    0.0289082   0.00675568
           132    0.0431344   0.00259205
           133     0.066962   0.00578557
           134    0.0784928     0.010041
           135    0.0654644   0.00302662
           136    0.0609741    0.0128351
           137    0.0634348   0.00280027
           138    0.0677519    0.0027103
           139    0.0647602    0.0023564
           140    0.0622288   0.00314055
           141    0.0585297   0.00287321
           142    0.0582908    0.0030544
           143    0.0596713   0.00500343
           144    0.0550281    0.0022653
           145    0.0394264   0.00326159
           146    0.0299792    0.0105737
           147    0.0224673   0.00451104
           148    0.0167268   0.00563968
           149    0.0108244   0.00262787
           150   0.00653327   0.00418129
           151   0.00418767    0.0026801
           152   0.00266913   0.00144037
           153   0.00158278  0.000802182
           154  0.000744342  0.000476378
           155  0.000321349  0.000205664
           156  0.000148529   9.50587e-5
           157   6.15086e-5   3.93656e-5
           158   3.28518e-5   2.10252e-5
           159   1.00941e-5   6.46022e-6
           160   3.19006e-6   2.04164e-6
           161   8.52942e-7   5.45882e-7
           162   1.59063e-7     1.018e-7
           163   6.10199e-8   3.90527e-8
           164   1.88168e-8   1.20428e-8
           165   9.51498e-9   6.08958e-9
           166   3.62415e-9   2.31945e-9
           167   2.47138e-9   1.58168e-9
           168  5.70456e-10  3.65092e-10
           169    2.385e-10   1.5264e-10
           170  5.00653e-11  3.20418e-11
           171  2.34703e-11   1.5021e-11
           172  7.68675e-12  4.91952e-12
